,Location,Price @rate,Area,Facing,Status,Floor,Furniture,Feature,Bathrooms,Agent,Time
0,"GH 13 Paschim Vihar, New Delhi","₹ 1.25Cr @10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Rohit (Agent),Posted: 6 Months ago
1,"Okhla Phase 1, New Delhi","₹ 4.81Cr @21,531/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 10 Months ago
2,"Chirag Delhi, New Delhi","₹ 45Lac @56,250/Sq Yd.",80 Sq Yd.,South,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Asha Kadwal (Owner),Posted: 10 Months ago
3,"Okhla Phase 1, New Delhi","₹ 4.82Cr @21,576/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 10 Months ago
4,"Paschim Vihar, New Delhi","₹ 1.2Cr @12,000/Sq Ft.",1000 Sq Ft.,East,Ready to Move,3rd of 4 Floor,Fully Furnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 11 Months ago
5,"Paschim Vihar, New Delhi","₹ 1.2Cr @10,000/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,4th of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
6,"Paschim Vihar, New Delhi","₹ 1.6Cr @13,333/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,3 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
7,"Moti Nagar, New Delhi","₹ 1.55Cr @11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
8,"Govindpuri Main, New Delhi","₹ 30Lac @3,333/Sq Yd.",900 Sq Yd.,East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Asha Kadwal (Owner),Posted: 1 Year ago
9,"Okhla Phase 1, New Delhi","₹ 4.49Cr @20,098/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,18th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
10,"Moti Nagar, New Delhi","₹ 1.55Cr @11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
11,"Moti Nagar, New Delhi","₹ 1.55Cr @11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,6th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
12,"Moti Nagar, New Delhi","₹ 1.55Cr @11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,3rd of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 11 Months ago
13,"Moti Nagar, New Delhi","₹ 1.55Cr @11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,13th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Utkarsh (Agent),Posted: 1 Year ago
14,"Keshav Puram, New Delhi","₹ 15Lac @3,000/Sq Ft.",500 Sq Ft.,North,Ready to Move,1st of 4 Floor,Semi Furnished,Power of Attorney,2 Bathroom,DG (Owner),Posted: 1 Year ago
15,"Chirag Delhi, New Delhi","₹ 12Lac @30,000/Sq Yd.",40 Sq Yd.,South,Ready to Move,1st of 3 Floor,Semi Furnished,Power of Attorney,1 Bathroom,Asha Kadwal (Owner),Posted: 1 Year ago
16,"Paschim Vihar, New Delhi","₹ 1.35Cr @11,250/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,1st of 4 Floor,Unfurnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
17,"Dwarka Sector 12, New Delhi","₹ 1.15Cr @10,455/Sq Ft.",1100 Sq Ft.,East,Ready to Move,3rd of 10 Floor,Unfurnished,Freehold,2 Bathroom,Deepak Handa (Agent),Posted: 1 Year ago
18,"Connaught Place, New Delhi","₹ 4Cr @27,586/Sq Ft.",1450 Sq Ft.,North-East,Ready to Move,4th of 10 Floor,Unfurnished,Leasehold,3 Bathroom,Raghwendra (Agent),Posted: 1 Year ago
19,"Paschim Vihar, New Delhi","₹ 85Lac @11,333/Sq Ft.",750 Sq Ft.,East,Ready to Move,2nd of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Vibhor Kumar (Agent),Posted: 1 Year ago
20,"Paschim Vihar, New Delhi","₹ 1.55Cr @15,500/Sq Ft.",1000 Sq Ft.,East,Ready to Move,2nd of 4 Floor,Unfurnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
21,"Dwarka Mor, New Delhi","₹ 85Lac @136,568/Sq Mtr.",62.24 Sq Mtr.,East,Ready to Move,Ground of 1 Floor,Fully Furnished,Freehold,2 Bathroom,Abhishek Jha (Owner),Posted: 1 Year ago
22,"Paschim Vihar, New Delhi","₹ 1.45Cr @12,083/Sq Ft.",1200 Sq Ft.,North,Ready to Move,Ground of 4 Floor,Unfurnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
23,"Paschim Vihar, New Delhi","₹ 95Lac @7,917/Sq Ft.",1200 Sq Ft.,East,Ready to Move,3rd of 3 Floor,Semi Furnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
